mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004084491729736328,0.004255374950332058,0.005763387680053711,0.003873881392325459,6,1,"{'n_neighbors': 6, 'p': 1}",0.8227848101265823,0.8354430379746836,0.8670886075949367,0.8417721518987342,0.802547770700637,0.8339272756591148,0.021318261767568247,60,0.8969889064976229,0.8779714738510301,0.8890649762282092,0.8938193343898574,0.8829113924050633,0.8881512166743566,0.0069591694719044785
0.004101753234863281,0.004268037315914242,0.006134414672851562,0.004266645272647084,6,2,"{'n_neighbors': 6, 'p': 2}",0.7911392405063291,0.8291139240506329,0.8670886075949367,0.8481012658227848,0.821656050955414,0.8314198177860195,0.025587913043710497,64,0.8938193343898574,0.8716323296354992,0.8922345483359746,0.8890649762282092,0.8860759493670886,0.8865654275913257,0.007927708883878762
0.00042643547058105467,0.0008528709411621093,0.009386539459228516,0.0010341931269268478,7,1,"{'n_neighbors': 7, 'p': 1}",0.8291139240506329,0.8544303797468354,0.8607594936708861,0.8417721518987342,0.802547770700637,0.8377247440135452,0.020676678357558244,56,0.8938193343898574,0.8811410459587956,0.8573692551505546,0.8779714738510301,0.8623417721518988,0.8745285763004274,0.013196000484016063
0.003665781021118164,0.004536841529664843,0.006559133529663086,0.0045356885363014915,7,2,"{'n_neighbors': 7, 'p': 2}",0.810126582278481,0.8417721518987342,0.8670886075949367,0.8607594936708861,0.8152866242038217,0.8390066919293719,0.023091680260422066,51,0.884310618066561,0.8605388272583201,0.8652931854199684,0.8811410459587956,0.8686708860759493,0.8719909125559189,0.009192741347804916
0.004522991180419922,0.003940813790224777,0.003650188446044922,0.003705928700188029,8,1,"{'n_neighbors': 8, 'p': 1}",0.8227848101265823,0.8607594936708861,0.8734177215189873,0.8544303797468354,0.8280254777070064,0.8478835765540597,0.019416151002372563,21,0.8890649762282092,0.8700475435816165,0.866877971473851,0.873217115689382,0.8813291139240507,0.8761073441794218,0.008067503109708957
0.0,0.0,0.009814786911010741,0.0008413923924055845,8,2,"{'n_neighbors': 8, 'p': 2}",0.7974683544303798,0.8544303797468354,0.8544303797468354,0.8607594936708861,0.8280254777070064,0.8390228170603887,0.023643112837632766,50,0.8763866877971473,0.8700475435816165,0.8605388272583201,0.8858954041204438,0.8734177215189873,0.8732572368553031,0.008265622347217892
0.004085445404052734,0.003373704604652192,0.004528713226318359,0.003943122767714383,9,1,"{'n_neighbors': 9, 'p': 1}",0.8227848101265823,0.8860759493670886,0.8924050632911392,0.8670886075949367,0.8662420382165605,0.8669192937192614,0.024350942037125275,8,0.901743264659271,0.8700475435816165,0.8874801901743264,0.8938193343898574,0.8781645569620253,0.8862509779534193,0.011195922642647082
0.0004263401031494141,0.0008526802062988281,0.009377241134643555,0.0010362837142607925,9,2,"{'n_neighbors': 9, 'p': 2}",0.7911392405063291,0.8670886075949367,0.879746835443038,0.8481012658227848,0.8343949044585988,0.8440941707651376,0.03070574487015704,37,0.8890649762282092,0.8652931854199684,0.873217115689382,0.8779714738510301,0.8686708860759493,0.8748435274529077,0.008294448790332653
0.006128835678100586,0.003351177635113554,0.0024872303009033205,0.0029870339002585535,10,1,"{'n_neighbors': 10, 'p': 1}",0.8227848101265823,0.8734177215189873,0.8924050632911392,0.8670886075949367,0.8726114649681529,0.8656615334999597,0.02308300818091297,9,0.9049128367670365,0.8779714738510301,0.8811410459587956,0.901743264659271,0.8829113924050633,0.8897360027282393,0.011254895451811986
0.0,0.0,0.010243368148803712,3.991967230149133e-05,10,2,"{'n_neighbors': 10, 'p': 2}",0.8164556962025317,0.8670886075949367,0.8734177215189873,0.8481012658227848,0.821656050955414,0.8453438684189309,0.02308340243702424,29,0.8874801901743264,0.8605388272583201,0.866877971473851,0.8827258320126783,0.8575949367088608,0.8710435515256073,0.011959977399942727
